fecha_venta,fecha_envio,sucursal,region,canal,categoria,subcategoria,venta_bruta,descuento_pct,venta_neta,costo,margen,tickets,metodo_pago,segmento_cliente,campana
2024-01-01,2024-01-03,Norte,Litoral,Online,Electrónica,Computadoras,11944.26,0,11944.26,6859.44,5084.82,38,Efectivo,Premium,Liquidación Q1
2024-01-01,2024-01-01,Oeste,Cordillera,Tienda,Electrónica,Smartphones,8192.38,5,7782.76,4289.87,3492.89,31,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-01,2024-01-01,Sur,Patagonia,Mayorista,Ropa,Casual,15273.73,15,12982.67,8170.64,4812.03,66,Transferencia,Frecuente,Back to School
2024-01-02,2024-01-04,Oeste,Cordillera,Tienda,Hogar,Cocina,8593.6,5,8163.92,5101.03,3062.89,21,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-02,2024-01-03,Sur,Patagonia,Tienda,Hogar,Decoración,8484.5,0,8484.5,5881.36,2603.14,25,Tarjeta,Frecuente,Liquidación Q1
2024-01-02,2024-01-03,Norte,Litoral,Tienda,Hogar,Electrodomésticos,13947.3,10,12552.57,8498.65,4053.92,59,Tarjeta,Frecuente,Liquidación Q1
2024-01-03,2024-01-03,Norte,Litoral,Tienda,Electrónica,Computadoras,7822.77,0,7822.77,5386.98,2435.79,28,Efectivo,Frecuente,Liquidación Q1
2024-01-03,2024-01-04,Sur,Patagonia,Tienda,Electrónica,Computadoras,9987.62,5,9488.24,5752.27,3735.97,28,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-03,2024-01-04,Este,Costa,Online,Ropa,Formal,6792.21,10,6112.99,4112.17,2000.82,20,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-04,2024-01-04,Este,Costa,Tienda,Ropa,Deportiva,22374.43,5,21255.71,14203.87,7051.84,71,Tarjeta,Frecuente,Back to School
2024-01-04,2024-01-05,Sur,Patagonia,Mayorista,Ropa,Formal,24506.08,10,22055.47,15143.82,6911.65,70,Tarjeta,Ocasional,Back to School
2024-01-04,2024-01-04,Centro,Ciudad,Online,Ropa,Casual,20253.54,0,20253.54,13369.51,6884.03,52,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-05,2024-01-06,Oeste,Cordillera,Online,Hogar,Electrodomésticos,24679.79,0,24679.79,13846.15,10833.65,73,Tarjeta,Premium,Back to School
2024-01-05,2024-01-06,Este,Costa,Tienda,Electrónica,Computadoras,15809.25,15,13437.86,8329.81,5108.05,68,Tarjeta,Frecuente,Back to School
2024-01-05,2024-01-05,Norte,Litoral,Tienda,Hogar,Decoración,13986.36,0,13986.36,8268.28,5718.08,51,Transferencia,Frecuente,Liquidación Q1
2024-01-06,2024-01-07,Este,Costa,Online,Ropa,Formal,18156.58,0,18156.58,11566.75,6589.82,55,Tarjeta,Frecuente,Lanzamiento Verano
2024-01-06,2024-01-06,Norte,Litoral,Tienda,Hogar,Cocina,8190.14,15,6961.62,4867.2,2094.42,30,Tarjeta,Frecuente,Liquidación Q1
